Sample#,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG,
143,658,0.00028,0.0878,0.00316,0.00995,0.0982,1.39,0.041,0,3.70E-06,0,0,0,1,0
144,659,0.000169,0.0848,0.00189,0.0404,0.0893,0.663,0,0,0,0,0,0,0,0
145,660,0.000108,0.0544,0.004,0.0467,0.0503,1.19,0.669,0,1.56E-08,0,0,0,1,0
146,661,0.000131,0.0589,0.00174,0.00112,0.0593,0.971,0.345,0,1.69E-06,0,0,0,1,0
147,662,5.38E-05,0.0448,0.00531,0.00203,0.0659,1.36,0,0,0,0,0,0,0,0
148,663,7.79E-05,0.0704,0.00486,0.039,0.0454,1.21,0.669,0,3.70E-09,0,0,0,1,0
149,664,0.000159,0.022,0.00649,0.027,0.0725,0.565,0.062,0,3.22E-07,0,0,0,1,0
150,665,0.000315,0.0553,0.00475,0.0768,0.0401,1.36,0.833,0.353,7.97E-27,1.38E-05,0,0,1,1
151,666,0.000126,0.0347,0.000376,0.0883,0.0635,1.46,0.87,0.316,1.02E-56,3.43E-05,0,0,1,1
152,667,0.000249,0.0167,0.00851,0.0995,0.0379,0.851,0.771,0.234,6.91E-23,3.12E-05,0,0,1,1
153,668,0.000198,0.0351,0.00846,0.0806,0.0822,0.65,0,0,0,0,0,0,0,0
154,669,0.000231,0.0276,0.00511,0.0676,0.0795,1.48,0,0,0,0,0,0,0,0
155,670,0.000152,0.0507,0.00123,0.0496,0.0662,1.46,0.734,0,1.67E-08,0,0,0,1,0
156,671,0.000134,0.0312,0.00163,0.0638,0.0449,0.89,0.82,0.23,6.41E-31,3.14E-05,0,0,1,1
157,672,0.000315,0.0282,0.00298,0.0881,0.0597,0.759,0.882,0.308,8.05E-32,3.28E-05,0,0,1,1
158,673,0.000126,0.0499,0.00804,0.0365,0.0843,0.825,0,0,0,0,0,0,0,0
159,674,0.000249,0.0146,0.0014,0.0774,0.0506,0.79,0.886,0.324,2.75E-48,1.85E-05,0,0,1,1
160,150,0.000267,0.0664,0.0065,0.0457,0.0588,1.15,0.714,0,2.63E-11,0,0,0,1,0
161,151,0.000154,0.0616,0.00245,0.00665,0.0575,0.604,0.726,0,5.34E-10,0,0,0,1,0
162,152,2.53E-05,0.067,0.00688,0.0972,0.0418,0.515,0,0,0,0,0,0,0,0
163,153,0.000316,0.0927,0.00343,0.063,0.092,0.638,0.062,0,3.69E-06,0,0,0,1,0
164,154,0.000263,0.0886,0.00585,0.0128,0.0377,1.19,0.742,0.275,1.93E-10,2.09E-05,0,0,1,1
165,155,0.000295,0.0547,0.00734,0.0307,0.0624,0.503,0.726,0,7.04E-11,0,0,0,1,0
166,156,0.000346,0.0807,0.000921,0.00154,0.089,0.619,0.8,0,1.22E-07,0,0,0,1,0
167,157,4.63E-05,0.0406,0.002,0.098,0.0295,1.21,0.734,0.127,3.84E-36,3.85E-05,0,0,1,1
168,158,0.000129,0.0355,0.00435,0.0559,0.0578,0.736,0.673,0,4.49E-08,0,0,0,1,0
169,159,0.000285,0.011,0.00995,0.1,0.0992,1.18,0,0,0,0,0,0,0,0
170,160,0.00029,0.0709,0.00304,0.0339,0.073,0.641,0.681,0,8.07E-08,0,0.016,3.18E-06,2,0
171,161,0.000259,0.0563,0.00956,0.055,0.0416,1.45,0.751,0.217,5.11E-14,3.77E-05,0,0,1,1
172,162,0.000351,0.0655,0.000475,0.0703,0.0779,1.25,0.997,0.615,6.14E-42,1.79E-05,0,0,1,1
173,163,0.000348,0.0662,0.000327,0.0915,0.0342,1.35,0.447,0.484,2.66E-10,9.88E-08,0.365,3.90E-10,3,1
174,164,7.43E-05,0.052,0.00235,0.0597,0.0955,0.844,0,0,0,0,0,0,0,0
175,165,0.000146,0.0569,0.00364,0.0568,0.0437,1.3,0.779,0.197,9.76E-22,3.92E-05,0,0,1,1
176,166,0.000215,0.0107,0.00373,0.00558,0.0673,1.26,0.098,0,2.20E-07,0,0,0,1,0
177,167,0.000173,0.0697,0.00712,0.0469,0.0277,0.533,0.742,0.234,9.62E-16,1.59E-05,0,0,1,1
178,168,9.64E-05,0.0229,0.00171,0.0377,0.08,1,0,0,0,0,0,0,0,0
179,169,0.000231,0.0352,0.00416,0.0109,0.0998,1.08,0,0,0,0,0,0,0,0
180,170,0.000252,0.0512,0.000525,0.0841,0.0433,1.35,0.562,0.39,9.58E-10,3.26E-06,0.324,4.27E-09,2,1
181,171,9.30E-05,0.0212,0.00274,0.0641,0.0718,0.81,0,0,0,0,0,0,0,0
182,172,5.27E-05,0.0756,0.00817,0.0185,0.0322,1.23,0.644,0,3.14E-08,0,0,0,1,0
183,173,0.000302,0.0589,0.00675,0.0737,0.0583,0.928,0.697,0,4.67E-09,0,0,0,1,0
184,174,4.09E-05,0.0268,0.00637,0.0338,0.0891,1.29,0,0,0,0,0,0,0,0
185,975,0.000321,0.0337,0.00373,0.0889,0.0748,0.53,0.763,0,1.15E-08,0,0,0,1,0
186,976,0.000198,0.0711,0.0038,0.0945,0.0911,0.719,0,0,0,0,0,0,0,0
187,977,0.000238,0.0366,0.00326,0.0496,0.094,0.894,0,0,0,0,0,0,0,0
188,978,0.000279,0.0115,0.00488,0.0274,0.0652,0.905,0.738,0,5.21E-13,0,0,0,1,0
189,979,0.00032,0.0136,0.00319,0.0458,0.0692,0.789,0.755,0,5.24E-17,0,0,0,1,0
190,980,0.000114,0.0267,0.00634,0.018,0.0858,1.46,0,0,0,0,0,0,0,0
191,981,0.000342,0.0595,0.00482,0.0184,0.0766,0.706,0.693,0,6.18E-08,0,0,0,1,0
192,982,0.000302,0.0452,0.00388,0.0817,0.0705,0.525,0.714,0,7.67E-09,0,0,0,1,0
193,983,0.000248,0.0577,0.00456,0.00187,0.0989,1.26,0,0,0,0,0,0,0,0
194,984,0.000345,0.0571,0.00112,0.0371,0.0853,1.21,0.82,0.238,2.81E-09,4.30E-05,0,0,1,1
195,985,0.000281,0.0356,0.00471,0.0289,0.0587,0.918,0.73,0.016,3.11E-13,4.81E-05,0,0,1,1
196,986,0.00035,0.0348,0.000962,0.0761,0.0343,1.45,0.504,0.435,9.89E-10,3.93E-07,0.349,9.41E-10,2,1
197,987,9.44E-05,0.0367,0.00405,0.0415,0.0845,0.615,0,0,0,0,0,0,0,0
198,988,0.000166,0.0369,0.00841,0.083,0.0255,1.11,0.742,0.23,1.49E-19,1.46E-05,0,0,1,1
199,989,0.000216,0.0116,0.00745,0.00368,0.0254,1.25,0.439,0.262,2.44E-09,7.00E-06,0,0,1,1
200,990,8.41E-05,0.0944,0.00417,0.00566,0.0432,0.966,0.595,0,4.23E-07,0,0,0,1,0
201,991,0.000232,0.0416,0.00211,0.0324,0.079,0.709,0.718,0,8.76E-08,0,0,0,1,0
202,992,0.000123,0.0176,0.00644,0.0678,0.0763,0.945,0,0,0,0,0,0,0,0
203,993,0.000265,0.0194,0.00406,0.0399,0.0627,1.33,0.705,0,4.87E-13,0,0,0,1,0
204,994,0.000235,0.0993,0.00679,0.064,0.0697,1.44,0.673,0,2.74E-07,0,0,0,1,0
205,995,0.000344,0.0337,0.00912,0.0383,0.0743,0.629,0.135,0,1.84E-07,0,0,0,1,0
206,996,0.000136,0.0102,0.00739,0.0427,0.087,0.722,0,0,0,0,0,0,0,0
207,997,0.000201,0.04,0.000896,0.0863,0.0667,1,0.911,0.353,1.64E-37,3.47E-05,0,0,1,1
208,998,0.000334,0.0789,0.00197,0.0544,0.0675,0.75,0.923,0.373,2.49E-22,3.15E-05,0,0,1,1
