,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG
123,83,0.0146,0.0014,0.0774,0.0506,0.79,0.886,0.324,2.75E-48,1.85E-05,0,0,1,1
124,95.33333333,0.0748,0.00161,0.0411,0.0418,0.571,0.878,0.373,8.49E-23,6.54E-06,0,0,1,1
125,116.3333333,0.07,0.00977,0.0215,0.0881,0.545,0.098,0,7.02E-07,0,0,0,1,0
127,119.3333333,0.0818,0.00514,0.0604,0.0628,0.782,0.816,0.287,1.93E-20,3.88E-05,0,0,1,1
128,87,0.0775,0.00658,0.0514,0.0633,0.671,0.742,0,5.79E-08,0,0,0,1,0
129,46.33333333,0.0355,0.00707,0.0195,0.0557,0.545,0.098,0,1.83E-07,0,0,0,1,0
130,96,0.0973,0.0035,0.0962,0.0691,0.992,0.742,0.32,4.27E-09,3.99E-05,0,0,1,1
131,99.33333333,0.0497,0.00863,0.00805,0.0602,0.684,0.365,0,1.79E-07,0,0,0,1,0
132,55,0.0383,0.00764,0.0606,0.0308,1.33,0.734,0.209,3.40E-16,2.70E-05,0,0,1,1
133,73.33333333,0.0529,0.00196,0.0088,0.0652,1.32,0.767,0,7.45E-12,0,0,0,1,0
134,113,0.0767,0.00665,0.0783,0.0353,0.643,0.824,0.34,4.23E-24,1.07E-05,0,0,1,1
135,106.6666667,0.0136,0.00319,0.0458,0.0692,0.789,0.755,0,5.24E-17,0,0,0,1,0
136,21.4,0.0699,0.00865,0.0283,0.039,1.33,0.628,0,5.60E-08,0,0,0,1,0
137,60.66666667,0.0502,0.00298,0.0279,0.0805,1.03,0.053,0,1.01E-06,0,0,0,1,0
138,69,0.0725,0.00667,0.0985,0.0423,0.818,0.788,0.23,2.55E-24,3.61E-05,0,0,1,1
139,116,0.0815,0.00867,0.0854,0.0405,1.4,0.792,0.312,5.58E-21,2.26E-05,0,0,1,1
140,43.66666667,0.0668,0.000492,0.0929,0.044,1.35,0.841,0.316,6.05E-53,1.21E-05,0,0,1,1
141,61.66666667,0.0313,0.00789,0.0146,0.0538,1.3,0.632,0,7.11E-08,0,0,0,1,0
142,116.6666667,0.0348,0.000962,0.0761,0.0343,1.45,0.504,0.435,9.89E-10,3.93E-07,0.349,9.41E-10,2,1
143,69.66666667,0.0108,0.00432,0.0875,0.0339,0.523,0.792,0.258,1.22E-31,1.57E-05,0,0,1,1
144,96,0.0866,0.00349,0.0635,0.0641,0.743,0.779,0.295,1.82E-18,3.93E-05,0,0,1,1
145,97.66666667,0.0545,0.00568,0.0974,0.0475,1.06,0.816,0.291,2.31E-28,2.97E-05,0,0,1,1
146,111.6666667,0.0656,0.00344,0.0287,0.0859,1.49,0.103,0,5.27E-07,0,0,0,1,0
147,36,0.0877,0.00902,0.0181,0.0367,1.37,0.669,0,9.58E-09,0,0,0,1,0
